date,sales,temp
2016-06-19,43,NA
2016-06-20,94,NA
2016-06-21,81,NA
2016-06-22,100,NA
2016-06-23,94,NA
2016-06-24,112,NA
2016-06-25,57,NA
2016-06-26,62,NA
2016-06-27,105,NA
2016-06-28,82,NA
2016-06-29,106,NA
2016-06-30,110,NA
2016-07-01,71,NA
2016-07-02,39,NA
2016-07-03,46,NA
2016-07-04,31,NA
2016-07-05,92,NA
2016-07-06,97,NA
2016-07-07,97,NA
2016-07-08,81,NA
2016-07-09,44,NA
2016-07-10,31,NA
2016-07-11,97,NA
2016-07-12,107,NA
2016-07-13,99,NA
2016-07-14,100,NA
2016-07-15,113,NA
2016-07-16,63,NA
2016-07-17,60,NA
2016-07-18,109,NA
2016-07-19,100,NA
2016-07-20,94,NA
2016-07-21,84,NA
2016-07-22,93,NA
2016-07-23,36,NA
2016-07-24,53,NA
2016-07-25,61,NA
2016-07-26,117,NA
2016-07-27,91,NA
2016-07-28,90,NA
2016-07-29,49,NA
2016-07-30,26,NA
2016-07-31,36,NA
2016-08-01,79,NA
2016-08-02,96,NA
2016-08-03,106,NA
2016-08-04,95,NA
2016-08-05,79,NA
2016-08-06,40,NA
2016-08-07,60,NA
2016-08-08,116,NA
2016-08-09,88,NA
2016-08-10,76,NA
2016-08-11,96,NA
2016-08-12,64,NA
2016-08-13,37,NA
2016-08-14,35,NA
2016-08-15,114,NA
2016-08-16,89,NA
2016-08-17,77,NA
2016-08-18,68,NA
2016-08-19,74,NA
2016-08-20,41,NA
2016-08-21,40,NA
2016-08-22,105,NA
2016-08-23,86,NA
2016-08-24,73,NA
2016-08-25,98,NA
2016-08-26,87,NA
2016-08-27,42,NA
2016-08-28,57,NA
2016-08-29,80,NA
2016-08-30,79,NA
2016-08-31,88,NA
2016-09-01,43,NA
2016-09-02,72,NA
2016-09-03,47,NA
2016-09-04,43,NA
2016-09-05,40,NA
2016-09-06,96,NA
2016-09-07,101,NA
2016-09-08,87,NA
2016-09-09,88,NA
2016-09-10,38,NA
2016-09-11,56,NA
2016-09-12,104,NA
2016-09-13,95,NA
2016-09-14,113,NA
2016-09-15,100,NA
2016-09-16,111,NA
2016-09-17,56,NA
2016-09-18,58,NA
2016-09-19,62,NA
2016-09-20,129,NA
2016-09-21,96,NA
2016-09-22,105,NA
2016-09-23,116,NA
2016-09-24,47,NA
2016-09-25,38,NA
2016-09-26,105,NA
2016-09-27,84,NA
2016-09-28,107,NA
2016-09-29,81,NA
2016-09-30,30,NA
2016-10-01,39,NA
2016-10-02,43,NA
2016-10-03,109,NA
2016-10-04,108,NA
2016-10-05,99,NA
2016-10-06,102,NA
2016-10-07,94,NA
2016-10-08,32,NA
2016-10-09,23,NA
2016-10-10,84,NA
2016-10-11,96,NA
2016-10-12,91,NA
2016-10-13,103,NA
2016-10-14,87,NA
2016-10-15,61,NA
2016-10-16,61,NA
2016-10-17,117,NA
2016-10-18,111,NA
2016-10-19,118,NA
2016-10-20,96,NA
2016-10-21,49,NA
2016-10-22,22,NA
2016-10-23,33,NA
2016-10-24,95,NA
2016-10-25,81,NA
2016-10-26,73,NA
2016-10-27,22,NA
2016-10-28,65,NA
2016-10-29,36,NA
2016-10-30,42,NA
2016-10-31,78,NA
2016-11-01,94,NA
2016-11-02,95,NA
2016-11-03,89,NA
2016-11-04,92,NA
2016-11-05,41,NA
2016-11-06,53,NA
2016-11-07,87,NA
2016-11-08,80,NA
2016-11-09,70,NA
2016-11-10,87,NA
2016-11-11,66,NA
2016-11-12,42,NA
2016-11-13,34,NA
